data_size, chunk_size, N, K, chosen_nodes
180.500000, 30.083333, 10, 6, 1 6 7 9 2 0 3 8 4 5 
124.099998, 20.683333, 10, 6, 1 6 7 9 2 0 3 8 4 5 
10.300000, 1.716667, 10, 6, 1 6 7 9 2 0 3 8 4 5 
7.000000, 1.166667, 10, 6, 1 6 7 9 2 0 3 8 4 5 
3.400000, 0.566667, 10, 6, 1 6 7 9 2 0 3 8 4 5 
1.900000, 0.316667, 10, 6, 1 6 7 9 2 0 3 8 4 5 
4.100000, 0.683333, 10, 6, 1 6 7 9 2 0 3 8 4 5 
2.900000, 0.483333, 10, 6, 1 6 7 9 2 0 3 8 4 5 
3.700000, 0.616667, 10, 6, 1 6 7 9 2 0 3 8 4 5 
191.800003, 31.966667, 10, 6, 1 6 7 9 2 0 3 8 4 5 
158.300003, 26.383334, 10, 6, 1 6 7 9 2 0 3 8 4 5 
2.200000, 0.366667, 10, 6, 1 6 7 9 2 0 3 8 4 5 
165.899994, 27.649999, 10, 6, 1 6 7 9 2 0 3 8 4 5 
192.600006, 32.100001, 10, 6, 1 6 7 9 2 0 3 8 4 5 
856.099976, 142.683329, 10, 6, 1 6 7 9 2 0 3 8 4 5 
71.400002, 11.900000, 10, 6, 1 6 7 9 2 0 3 8 4 5 
65.300003, 10.883334, 10, 6, 1 6 7 9 2 0 3 8 4 5 
56.099998, 9.350000, 10, 6, 1 6 7 9 2 0 3 8 4 5 
107.400002, 17.900000, 10, 6, 1 6 7 9 2 0 3 8 4 5 
115.500000, 19.250000, 10, 6, 1 6 7 9 2 0 3 8 4 5 
123.300003, 20.550001, 10, 6, 1 6 7 9 2 0 3 8 4 5 
9.400000, 1.566667, 10, 6, 1 6 7 9 2 0 3 8 4 5 
92.199997, 15.366666, 10, 6, 1 6 7 9 2 0 3 8 4 5 
124.000000, 20.666667, 10, 6, 1 6 7 9 2 0 3 8 4 5 
203.500000, 33.916667, 10, 6, 1 6 7 9 2 0 3 8 4 5 
110.900002, 18.483334, 10, 6, 1 6 7 9 2 0 3 8 4 5 
124.599998, 20.766666, 10, 6, 1 6 7 9 2 0 3 8 4 5 
187.199997, 31.199999, 10, 6, 1 6 7 9 2 0 3 8 4 5 
75.099998, 12.516666, 10, 6, 1 6 7 9 2 0 3 8 4 5 
153.399994, 25.566666, 10, 6, 1 6 7 9 2 0 3 8 4 5 
2.200000, 0.366667, 10, 6, 1 6 7 9 2 0 3 8 4 5 
157.899994, 26.316666, 10, 6, 1 6 7 9 2 0 3 8 4 5 
113.500000, 18.916667, 10, 6, 1 6 7 9 2 0 3 8 4 5 
74.199997, 12.366666, 10, 6, 1 6 7 9 2 0 3 8 4 5 
72.199997, 12.033333, 10, 6, 1 6 7 9 2 0 3 8 4 5 
6.600000, 1.100000, 10, 6, 1 6 7 9 2 0 3 8 4 5 
15.900000, 2.650000, 10, 6, 1 6 7 9 2 0 3 8 4 5 
16.100000, 2.683333, 10, 6, 1 6 7 9 2 0 3 8 4 5 
10.300000, 1.716667, 10, 6, 1 6 7 9 2 0 3 8 4 5 
10.600000, 1.766667, 10, 6, 1 6 7 9 2 0 3 8 4 5 
13.600000, 2.266667, 10, 6, 1 6 7 9 2 0 3 8 4 5 
517.799988, 86.299998, 10, 6, 1 6 7 9 2 0 3 8 4 5 
447.700012, 74.616669, 10, 6, 1 6 7 9 2 0 3 8 4 5 
112.500000, 18.750000, 10, 6, 1 6 7 9 2 0 3 8 4 5 
532.099976, 88.683329, 10, 6, 1 6 7 9 2 0 3 8 4 5 
56.700001, 9.450000, 10, 6, 1 6 7 9 2 0 3 8 4 5 
57.000000, 9.500000, 10, 6, 1 6 7 9 2 0 3 8 4 5 
57.599998, 9.600000, 10, 6, 1 6 7 9 2 0 3 8 4 5 
117.699997, 19.616666, 10, 6, 1 6 7 9 2 0 3 8 4 5 
136.800003, 22.800001, 10, 6, 1 6 7 9 2 0 3 8 4 5 
149.000000, 24.833333, 10, 6, 1 6 7 9 2 0 3 8 4 5 
112.199997, 18.699999, 10, 6, 1 6 7 9 2 0 3 8 4 5 
1.700000, 0.283333, 10, 6, 1 6 7 9 2 0 3 8 4 5 
86.500000, 14.416667, 10, 6, 1 6 7 9 2 0 3 8 4 5 
89.000000, 14.833333, 10, 6, 1 6 7 9 2 0 3 8 4 5 
26.500000, 4.416667, 10, 6, 1 6 7 9 2 0 3 8 4 5 
8.600000, 1.433333, 10, 6, 1 6 7 9 2 0 3 8 4 5 
4.000000, 0.666667, 10, 6, 1 6 7 9 2 0 3 8 4 5 
160.000000, 26.666667, 10, 6, 1 6 7 9 2 0 3 8 4 5 
7.500000, 1.250000, 10, 6, 1 6 7 9 2 0 3 8 4 5 
6.500000, 1.083333, 10, 6, 1 6 7 9 2 0 3 8 4 5 
6.300000, 1.050000, 10, 6, 1 6 7 9 2 0 3 8 4 5 
154.600006, 25.766668, 10, 6, 1 6 7 9 2 0 3 8 4 5 
74.099998, 12.350000, 10, 6, 1 6 7 9 2 0 3 8 4 5 
2.200000, 0.366667, 10, 6, 1 6 7 9 2 0 3 8 4 5 
152.899994, 25.483332, 10, 6, 1 6 7 9 2 0 3 8 4 5 
72.300003, 12.050001, 10, 6, 1 6 7 9 2 0 3 8 4 5 
190.000000, 31.666667, 10, 6, 1 6 7 9 2 0 3 8 4 5 
123.199997, 20.533333, 10, 6, 1 6 7 9 2 0 3 8 4 5 
214.699997, 35.783333, 10, 6, 1 6 7 9 2 0 3 8 4 5 
13.100000, 2.183333, 10, 6, 1 6 7 9 2 0 3 8 4 5 
2.000000, 0.333333, 10, 6, 1 6 7 9 2 0 3 8 4 5 
186.000000, 31.000000, 10, 6, 1 6 7 9 2 0 3 8 4 5 
119.900002, 19.983334, 10, 6, 1 6 7 9 2 0 3 8 4 5 
123.300003, 20.550001, 10, 6, 1 6 7 9 2 0 3 8 4 5 
51.200001, 8.533333, 10, 6, 1 6 7 9 2 0 3 8 4 5 
73.099998, 12.183333, 10, 6, 1 6 7 9 2 0 3 8 4 5 
7.600000, 1.266667, 10, 6, 1 6 7 9 2 0 3 8 4 5 
63.900002, 10.650000, 10, 6, 1 6 7 9 2 0 3 8 4 5 
1.800000, 0.300000, 10, 6, 1 6 7 9 2 0 3 8 4 5 
85.300003, 14.216667, 10, 6, 1 6 7 9 2 0 3 8 4 5 
118.500000, 19.750000, 10, 6, 1 6 7 9 2 0 3 8 4 5 
164.399994, 27.399999, 10, 6, 1 6 7 9 2 0 3 8 4 5 
2.300000, 0.383333, 10, 6, 1 6 7 9 2 0 3 8 4 5 
160.300003, 26.716667, 10, 6, 1 6 7 9 2 0 3 8 4 5 
71.000000, 11.833333, 10, 6, 1 6 7 9 2 0 3 8 4 5 
191.399994, 31.899999, 10, 6, 1 6 7 9 2 0 3 8 4 5 
124.199997, 20.699999, 10, 6, 1 6 7 9 2 0 3 8 4 5 
214.600006, 35.766668, 10, 6, 1 6 7 9 2 0 3 8 4 5 
122.099998, 20.350000, 10, 6, 1 6 7 9 2 0 3 8 4 5 
2.100000, 0.350000, 10, 6, 1 6 7 9 2 0 3 8 4 5 
193.399994, 32.233332, 10, 6, 1 6 7 9 2 0 3 8 4 5 
121.599998, 20.266666, 10, 6, 1 6 7 9 2 0 3 8 4 5 
199.199997, 33.199999, 10, 6, 1 6 7 9 2 0 3 8 4 5 
