algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored,total_N,mean_storage_used,mean_upload_time,mean_N,initial_node_sizes,final_node_sizes,total_chunking_time,mean_chunking_time,mean_parralelized_upload_time,total_read_time,mean_read_time,total_read_time_parrallelized,mean_read_time_parrallelized,total_reconstruct_time,mean_reconstruct_time,size_stored
alg4_1, 730.549081, 111999856.748402, 645706.101580, 159362.697955, 557665, 3209355, 200.837163, 1.157875, 5.754987, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[33.257585, 0.165625, 0.153690, 0.216047, 0.026327, 0.040243, 0.265920, 0.038549, 109.078060, 0.009554]", 1781938.425226, 3.195356, 0.285768, 639078.310632, 1.145990, 163093.691965, 0.292458, 3367283.608731, 6.038184, 65286882.344646
alg1_c, 3.395593, 107999999.287744, 627015.535438, 115714.285476, 546810, 4651929, 197.509188, 1.146679, 8.507396, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[0.024176, 4000000.024178, 0.125470, 0.151868, 0.031472, 0.125470, 0.125470, 0.031472, 0.024176, 0.048499]", 1859193.566827, 3.400072, 0.211617, 620979.851446, 1.135641, 120689.654964, 0.220716, 3845784.722597, 7.033128, 64022919.243583
alg_bogdan, 9.092610, 111999998.274664, 645707.118284, 176425.872553, 472055, 2342293, 237.260485, 1.367864, 4.961907, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[0.051228, 0.070408, 0.092294, 0.668815, 0.007229, 0.310205, 0.321195, 0.004036, 0.134860, 0.065066]", 1551297.413385, 3.286264, 0.373740, 639079.393129, 1.353824, 180186.470122, 0.381707, 2645641.790841, 5.604520, 55268115.737927
hdfs_3_replication_c, 9.316544, 100129661.166369, 549758.061097, 199418.910971, 285127, 855381, 351.175656, 1.928116, 3.000000, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[1.191537, 1.288439, 0.593050, 0.592436, 0.294663, 0.891702, 0.591176, 0.194847, 10808085.798057, 1062247.397723]", 930394.841537, 3.263089, 0.699404, 537919.398431, 1.886596, 194023.679517, 0.680482, 1333751.625704, 4.677746, 33376553.722123
hdfs_rs_3_2_c, 1.028645, 99456271.063973, 545132.383041, 127419.720664, 509515, 2547575, 195.197926, 1.069904, 5.000000, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[0.057545, 0.055206, 0.026020, 0.394019, 0.061902, 108745.725303, 0.391951, 108745.761185, 11611393.231656, 714843.231236]", 1583122.650107, 3.107117, 0.250080, 532290.818113, 1.044701, 125056.144310, 0.245442, 2924572.033005, 5.739914, 59673762.638388
hdfs_rs_6_3_c, 1.046197, 71999999.746133, 411217.277279, 65407.719601, 409941, 3689469, 175.635030, 1.003113, 9.000000, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[6000000.028206, 10000000.028206, 4000000.028207, 2000000.028207, 0.028208, 4000000.028207, 4000000.028207, 0.028208, 7516005.995717, 2483994.032488]", 1362623.732035, 3.323951, 0.159554, 407111.311225, 0.993097, 67295.041146, 0.164158, 3005508.521544, 7.331564, 47999999.830755
hdfs_rs_4_2_c, 1.222673, 89645893.407158, 495204.118052, 99991.647674, 510304, 3061824, 175.671548, 0.970410, 6.000000, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[1668756.242052, 3059017.765474, 0.167292, 0.018629, 0.119886, 0.167292, 3508296.494523, 3059017.746845, 11059017.598182, 0.272668]", 1545285.754118, 3.028167, 0.195945, 482882.238561, 0.946264, 97949.364973, 0.191943, 3199395.479743, 6.269587, 59763928.938106
hdfs_rs_0_0_c, 1.009485, 71999999.746133, 411217.277279, 65407.719601, 409941, 3689469, 175.635030, 1.003113, 9.000000, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[6000000.028206, 10000000.028206, 4000000.028207, 2000000.028207, 0.028208, 4000000.028207, 4000000.028207, 0.028208, 7516005.995717, 2483994.032488]", 1362623.732035, 3.323951, 0.159554, 407111.311225, 0.993097, 67295.041146, 0.164158, 3005508.521544, 7.331564, 47999999.830755
glusterfs_6_4_c, 1.249976, 89645893.407158, 495204.118052, 99991.647674, 510304, 3061824, 175.671548, 0.970410, 6.000000, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[1668756.242052, 3059017.765474, 0.167292, 0.018629, 0.119886, 0.167292, 3508296.494523, 3059017.746845, 11059017.598182, 0.272668]", 1545285.754118, 3.028167, 0.195945, 482882.238561, 0.946264, 97949.364973, 0.191943, 3199395.479743, 6.269587, 59763928.938106
glusterfs_0_0_c, 1.194851, 89645893.407158, 495204.118052, 99991.647674, 510304, 3061824, 175.671548, 0.970410, 6.000000, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[1668756.242052, 3059017.765474, 0.167292, 0.018629, 0.119886, 0.167292, 3508296.494523, 3059017.746845, 11059017.598182, 0.272668]", 1545285.754118, 3.028167, 0.195945, 482882.238561, 0.946264, 97949.364973, 0.191943, 3199395.479743, 6.269587, 59763928.938106
