4,3,130432.28503417969
5,3,130674.25622558594
5,4,112138.51599121094
6,3,132031.0118408203
6,4,112857.41040039062
6,5,117193.98474121094
7,3,133089.36059570312
7,4,115403.91918945312
7,5,116511.70544433594
7,6,106867.64904785156
8,3,132105.2332763672
8,4,113659.67272949219
8,5,118341.46801757812
8,6,106240.42651367188
8,7,96283.16735839844
9,3,131537.9012451172
9,4,113802.99108886719
9,5,115911.13842773438
9,6,104949.2900390625
9,7,95951.18408203125
9,8,93804.59680175781
10,3,132454.4041748047
10,4,112742.41198730469
10,5,118103.77600097656
10,6,106009.69812011719
10,7,97767.75427246094
10,8,93599.34289550781
10,9,82626.48803710938
11,3,130827.38562011719
11,4,112108.41003417969
11,5,115708.03930664062
11,6,104506.36267089844
11,7,96196.31005859375
11,8,93764.30322265624
11,9,83437.62805175781
11,10,85344.40051269531
12,3,131301.97888183594
12,4,111192.02868652344
12,5,114914.46447753906
12,6,104818.68579101562
12,7,97080.30200195312
12,8,95563.47937011719
12,9,84505.51611328125
12,10,86225.46496582031
12,11,77019.17541503906
13,3,132205.056640625
13,4,112402.97961425781
13,5,116075.74682617188
13,6,103632.48522949219
13,7,94933.45739746094
13,8,92439.77270507812
13,9,83208.05908203125
13,10,85563.326171875
13,11,78986.52111816406
13,12,78946.23547363281
14,3,131823.72192382812
14,4,113526.88720703124
14,5,119542.85290527344
14,6,107096.54943847656
14,7,97846.99621582031
14,8,96683.33666992188
14,9,84622.07629394531
14,10,84116.71728515625
14,11,77358.90869140625
14,12,77977.84643554688
14,13,72362.60717773438
15,3,133143.60327148438
15,4,113534.91906738281
15,5,118597.74230957031
15,6,106183.19372558594
15,7,96338.1298828125
15,8,93468.04895019531
15,9,82305.59643554688
15,10,83140.30004882812
15,11,76157.822265625
15,12,77589.36926269531
15,13,71951.67907714844
15,14,71885.96569824219
16,3,132884.13720703125
16,4,111170.34924316406
16,5,114864.79064941406
16,6,103079.37377929688
16,7,95204.00439453125
16,8,93024.3291015625
16,9,83018.87084960938
16,10,83542.35571289062
16,11,77036.6357421875
16,12,77108.62194824219
16,13,72390.64428710938
16,14,71664.42736816406
16,15,72710.60473632812
17,3,131096.51098632812
17,4,111619.44140625
17,5,114936.60168457031
17,6,103605.47131347656
17,7,94832.23413085938
17,8,93909.05920410156
17,9,83676.990234375
17,10,85563.89733886719
17,11,78455.22143554688
17,12,79098.87866210938
17,13,73788.17553710938
17,14,73632.31323242188
17,15,73705.64562988281
17,16,91020.01147460938
18,3,130015.20751953125
18,4,111440.41418457031
18,5,114055.13659667969
18,6,102064.44494628906
18,7,93130.48803710938
18,8,92333.8564453125
18,9,82851.18579101562
18,10,84030.18188476562
18,11,76343.94287109375
18,12,79345.94860839844
18,13,71743.89428710938
18,14,70906.96301269531
18,15,71193.49035644531
18,16,90274.35083007812
18,17,69810.35766601562
19,3,131841.26171875
19,4,112105.42236328125
19,5,117265.15197753906
19,6,105826.85729980469
19,7,95508.03674316406
19,8,91871.65551757812
19,9,82109.6220703125
19,10,83244.70788574219
19,11,77338.06860351562
19,12,78707.14660644531
19,13,73004.85620117188
19,14,71365.13452148438
19,15,71839.48364257812
19,16,91033.37109375
19,17,69481.0205078125
19,18,69855.14318847656
20,3,132346.55212402344
20,4,113048.69201660156
20,5,116165.60815429688
20,6,102931.892578125
20,7,93196.55517578125
20,8,91396.01672363281
20,9,81876.96264648438
20,10,82353.474609375
20,11,76064.5947265625
20,12,76328.04174804688
20,13,71829.1787109375
20,14,70449.37109375
20,15,72480.12622070312
20,16,90228.02941894531
20,17,71012.3720703125
20,18,69309.30334472656
20,19,69161.79675292969
