algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored
alg1, 0.01974177360534668, 113523809.52380973, 634669.3519853029, 117712.84271284305, 100
alg2, 14.483898639678955, 102000000.0, 530228.1857318142, 196393.19140290245, 68
alg3, 8.768867492675781, 102000000.0, 530228.1857318142, 196393.19140290245, 68
alg4, 14.44227933883667, 118809523.80952382, 661788.2725144526, 205616.91751603447, 90
alg2_rc, 3.4514946937561035, 84000000.0, 473388.5199872221, 169751.36766585894, 56
alg3_rc, 9.018855333328247, 102000000.0, 530228.1857318142, 196393.19140290245, 68
alg4_rc, 13.730730772018433, 118809523.80952382, 661788.2725144526, 205616.91751603447, 90
random, 0.06195998191833496, 110785714.28571428, 623632.301292297, 226873.4437428692, 51
hdfs_three_replications, 0.41411375999450684, 39000000, 229089.86123580212, 35450.76363636364, 13
hdfsrs_3_2, 0.005541563034057617, 110000000.00000001, 614573.3625233887, 341697.24602170044, 66
hdfsrs_6_3, 0.007439374923706055, 102000000.0, 553297.1641307417, 205476.84023293792, 68
hdfsrs_10_4, 0.006498098373413086, 103600000.0, 529741.5895635393, 152546.70482214753, 74
vandermonders_3_2, 0.005841255187988281, 110000000.00000001, 614573.3625233887, 341697.24602170044, 66
vandermonders_6_3, 0.006463766098022461, 102000000.0, 553297.1641307417, 205476.84023293792, 68
vandermonders_10_4, 0.006781816482543945, 103600000.0, 529741.5895635393, 152546.70482214753, 74
glusterfs_6_4, 0.005294084548950195, 84000000.0, 412644.87045915314, 81339.7129186604, 56
