algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored
alg1, 0.0009016990661621094, 11111.111111164093, 65.26796643208456, 10.101010101085357, 10
alg2, 1.3468070030212402, 15000.0, 65.7555008205879, 24.038461538461537, 10
alg3, 1.3845551013946533, 15000.0, 65.7555008205879, 24.038461538461537, 10
alg4, 1.4244418144226074, 15000.0, 71.47894404403114, 29.76190476190476, 10
alg2_rc, 0.28886866569519043, 15000.0, 77.72381127644285, 29.76190476190476, 10
alg3_rc, 1.3998181819915771, 15000.0, 65.7555008205879, 24.038461538461537, 10
alg4_rc, 1.3591086864471436, 15000.0, 71.47894404403114, 29.76190476190476, 10
random, 0.0014123916625976562, 37576.19047614932, 222.34502801275815, 47.27167141801934, 10
hdfs_three_replications, 0.0015180110931396484, 30000, 173.08639459434056, 23.272727272727277, 10
hdfsrs_3_2, 0.0010035037994384766, 16666.666666686535, 69.52839880359576, 39.87240829349063, 10
hdfsrs_6_3, 0.0010602474212646484, 15000.0, 65.7555008205879, 24.038461538461537, 10
hdfsrs_10_4, 0.0009324550628662109, 14000.0, 63.795348036340464, 17.766497461928935, 10
vandermonders_3_2, 0.0013117790222167969, 16666.666666686535, 69.52839880359576, 39.87240829349063, 10
vandermonders_6_3, 0.0010821819305419922, 15000.0, 65.7555008205879, 24.038461538461537, 10
vandermonders_10_4, 0.0010488033294677734, 14000.0, 63.795348036340464, 17.766497461928935, 10
glusterfs_6_4, 0.0011200904846191406, 15000.0, 71.67936835273298, 13.157894736842106, 10
