algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored
alg1, 0.007401943206787109, 55555.55555592477, 326.3398321607064, 50.50505050542689, 100
alg2, 12.726220846176147, 75000.0, 328.77750410293885, 120.19230769230792, 100
alg3, 12.725887775421143, 75000.0, 328.77750410293885, 120.19230769230792, 100
alg4, 14.494741678237915, 75000.0, 357.3947202201548, 148.809523809524, 100
alg2_rc, 3.0351154804229736, 75000.0, 388.6190563822143, 148.809523809524, 100
alg3_rc, 14.957845449447632, 75000.0, 328.77750410293885, 120.19230769230792, 100
alg4_rc, 15.193252325057983, 75000.0, 357.3947202201548, 148.809523809524, 100
random, 0.0113983154296875, 135710.11904762685, 809.5572518849943, 226.7918676527844, 100
hdfs_three_replications, 0.013319730758666992, 150000, 858.8881337738975, 117.30769230769208, 100
hdfsrs_3_2, 0.008260488510131836, 83333.33333319426, 347.64199401720197, 199.3620414670071, 100
hdfsrs_6_3, 0.007865190505981445, 75000.0, 328.77750410293885, 120.19230769230792, 100
hdfsrs_10_4, 0.007219552993774414, 70000.0, 318.9767401817019, 88.8324873096447, 100
vandermonders_3_2, 0.007069826126098633, 83333.33333319426, 347.64199401720197, 199.3620414670071, 100
vandermonders_6_3, 0.00754237174987793, 75000.0, 328.77750410293885, 120.19230769230792, 100
vandermonders_10_4, 0.007568836212158203, 70000.0, 318.9767401817019, 88.8324873096447, 100
glusterfs_6_4, 0.00828695297241211, 75000.0, 358.3968417636644, 65.78947368421045, 100
