algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored
alg1, 0.011409521102905273, 11111.11111176014, 65.26796643520191, 10.101010101762677, 100
alg2, 15.366016149520874, 15000.0, 65.75550082058776, 24.038461538461565, 100
alg3, 14.79575490951538, 15000.0, 65.75550082058776, 24.038461538461565, 100
alg4, 16.436790704727173, 15000.0, 65.75550082058776, 24.038461538461565, 100
alg2_rc, 3.2350401878356934, 15000.0, 73.86864226583336, 25.906735751295347, 100
alg3_rc, 17.112903833389282, 15000.0, 65.75550082058776, 24.038461538461565, 100
alg4_rc, 16.119880199432373, 15000.0, 65.75550082058776, 24.038461538461565, 100
random, 0.012401819229125977, 25964.880952388048, 151.8506555543061, 45.00216387084553, 100
hdfs_three_replications, 0.011474370956420898, 30000, 131.5110016411755, 48.07692307692313, 100
hdfsrs_3_2, 0.007933855056762695, 16666.666666805744, 69.52839880406175, 39.87240829375793, 100
hdfsrs_6_3, 0.007754802703857422, 15000.0, 65.75550082058776, 24.038461538461565, 100
hdfsrs_10_4, 0.00807642936706543, 14000.0, 63.795348036340656, 17.76649746192898, 100
vandermonders_3_2, 0.007676601409912109, 16666.666666805744, 69.52839880406175, 39.87240829375793, 100
vandermonders_6_3, 0.008092403411865234, 15000.0, 65.75550082058776, 24.038461538461565, 100
vandermonders_10_4, 0.008388757705688477, 14000.0, 63.795348036340656, 17.76649746192898, 100
glusterfs_6_4, 0.007994413375854492, 15000.0, 71.679368352733, 13.15789473684212, 100
