algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored
alg1, 0.0011734962463378906, 22222222.222222224, 130535.93286347647, 20202.0202020202, 1
alg2, 1.4650888442993164, 85000000.0, 449553.1935316327, 153055.27805527806, 3
alg3, 0.7128162384033203, 85000000.0, 449553.1935316327, 153055.27805527806, 3
alg4, 0.6781034469604492, 60000000.0, 329779.6743678696, 143540.66985645934, 2
alg2_rc, 0.33432602882385254, 60000000.0, 350801.76391193573, 150432.90043290044, 2
alg3_rc, 0.6488463878631592, 85000000.0, 449553.1935316327, 153055.27805527806, 3
alg4_rc, 0.6425137519836426, 60000000.0, 329779.6743678696, 143540.66985645934, 2
random, 0.00992131233215332, 51666666.66666666, 317257.44816699444, 106060.60606060606, 2
hdfs_three_replications, 0.707244873046875, 0, 0, 0, 0
hdfsrs_3_2, 0.00010967254638671875, 0, 0, 0, 0
hdfsrs_6_3, 0.0005025863647460938, 60000000.0, 295479.8616149445, 107600.7326007326, 2
hdfsrs_10_4, 0.0006165504455566406, 84000000.0, 418776.192699077, 119882.58841979282, 3
vandermonders_3_2, 0.00011610984802246094, 0, 0, 0, 0
vandermonders_6_3, 0.000530242919921875, 60000000.0, 295479.8616149445, 107600.7326007326, 2
vandermonders_10_4, 0.000720977783203125, 84000000.0, 418776.192699077, 119882.58841979282, 3
glusterfs_6_4, 0.0006530284881591797, 60000000.0, 286717.4734109319, 52631.57894736842, 2
