ID, Size, Total Transfer Time, Transfer Time Parralelized, Chunking Time, N, K
0, 180.5, 1.2938125987668303, 0.2375, 4.672917533472203, 6, 4
1, 124.1, 0.8895409612680972, 0.1632894736861712, 3.200550093736015, 6, 4
2, 10.3, 0.07382974938195284, 0.01355263157502601, 0.26848368494440283, 6, 4
3, 7.0, 0.05017555784691308, 0.009210526315789473, 0.1824646402534777, 6, 4
4, 3.4, 0.02437098522924815, 0.0044736842085656365, 0.09128986981377324, 6, 4
5, 1.9, 0.013619079976338206, 0.002499999998039321, 0.05101492724887328, 6, 4
6, 4.1, 0.02938854103530158, 0.005394736844065942, 0.11008484301072653, 6, 4
7, 2.9, 0.020787016811611502, 0.0038157894717235313, 0.07786488895880657, 6, 4
8, 3.7, 0.026521366311873316, 0.004868421056552937, 0.09934485832675323, 6, 4
9, 191.8, 1.3748102849840564, 0.2523684210487102, 4.965460293185422, 6, 4
10, 158.3, 1.1346844010024006, 0.20828947368028916, 4.098187509964819, 6, 4
11, 2.2, 0.01576946105896337, 0.0028947368460266213, 0.059069915761853276, 6, 4
12, 165.9, 1.189160720961159, 0.21828947368224985, 4.294941932426806, 6, 4
13, 192.6, 1.380544634484318, 0.25342105263353965, 4.986171285023525, 6, 4
14, 856.1, 6.1364707246881505, 1.1264473684230134, 22.278251504541263, 6, 4
15, 71.4, 0.5117906900278324, 0.09394736841909196, 1.863038593403808, 6, 4
16, 65.3, 0.4680662753219842, 0.08592105262765759, 1.703871430662026, 6, 4
17, 56.1, 0.402121256469513, 0.07381578947564489, 1.4638160376744207, 6, 4
18, 107.4, 0.7698364160976711, 0.14131578947172352, 2.769855600864207, 6, 4
19, 115.5, 0.8278967044740657, 0.15197368421052632, 2.978755324951731, 6, 4
20, 123.3, 0.8838066117678355, 0.1622368421013418, 3.179918022221198, 6, 4
21, 9.4, 0.06737860624088793, 0.012368421050670899, 0.24502394548324144, 6, 4
22, 92.2, 0.6608837762335601, 0.12131578947760557, 2.3778462420826805, 6, 4
23, 124.0, 0.8888241675738888, 0.1631578947368421, 3.1979710847966634, 6, 4
24, 203.5, 1.458675145978116, 0.26776315789473687, 5.268358548817691, 6, 4
25, 110.9, 0.7949241950211275, 0.14592105262961827, 2.860120913741532, 6, 4
26, 124.6, 0.8931249296857338, 0.1639473684230133, 3.2134451384327765, 6, 4
27, 187.2, 1.3418377755845232, 0.24631578947760557, 4.846372090116323, 6, 4
28, 75.1, 0.5383120563397056, 0.09881578947564489, 1.936835713453463, 6, 4
29, 153.4, 1.0995615105202428, 0.20184210526119722, 3.9713326849564314, 6, 4
30, 2.2, 0.01576946105896337, 0.0028947368460266213, 0.059069915761853276, 6, 4
31, 157.9, 1.1318172262789725, 0.20776315789277616, 4.087832014045767, 6, 4
32, 113.5, 0.8135608308035192, 0.1493421052631579, 2.927175146164688, 6, 4
33, 74.2, 0.5318609131986408, 0.09763157895128978, 1.9360989304000358, 6, 4
34, 72.2, 0.5175250395280941, 0.09500000000392136, 1.8839129754027302, 6, 4
35, 6.6, 0.04730838312348482, 0.008684210528276469, 0.1720380893818504, 6, 4
