algorithm,number_files,average_file_size,min_file_size,max_file_size,number_storage_nodes,total_simulation_time,total_data_generation_time,total_chunking_time,total_scheduling_time,total_upload_time,average_data_generation_time,average_scheduling_time,average_chunking_time,average_upload_time,average_overhead,total_storage_used,nodes_storage_utilization
alg1,10,209715200.0,209715200,209715200,10,79180.172995,5340.07746,33556.452638,5.476242999999999,5577.252315,534.007746,0.5476243,3355.6452638,557.7252315,111.11111164093018,2222.2222328186035,"[222.22222328186035, 222.22222328186035, 222.22222328186035, 222.22222328186035, 222.22222328186035, 222.22222328186035, 222.22222328186035, 222.22222328186035, 222.22222328186035, 222.22222328186035]"
alg2,10,209715200.0,209715200,209715200,10,80947.726334,4861.082421000001,21024.287935,1238.740221,27599.869594,486.1082421000001,123.8740221,2102.4287935,2759.9869594,150.00000143051147,3000.0000286102295,"[1000.0000095367432, 1000.0000095367432, 1000.0000095367432]"
alg3,10,209715200.0,209715200,209715200,10,75789.308374,4540.679547000001,20314.470880999997,1296.701091,26895.056243,454.0679547000001,129.6701091,2031.4470880999997,2689.5056243,150.00000143051147,3000.0000286102295,"[1000.0000095367432, 1000.0000095367432, 1000.0000095367432]"
alg4,10,209715200.0,209715200,209715200,10,79995.236721,4859.2000610000005,21123.111721,1446.967128,30503.095113,485.9200061,144.6967128,2112.3111721,3050.3095113,150.00000143051147,3000.0000286102295,"[1000.0000095367432, 1000.0000095367432, 1000.0000095367432]"
random,10,209715200.0,209715200,209715200,10,179396.84036400003,4525.507008,58276.815219000004,23.043073999999997,90634.98491400002,452.55070079999996,2.3043074,5827.6815219,9063.498491400002,330.6349232196808,6390.476241111755,"[728.5714340209961, 428.57143211364746, 628.5714340209961, 728.5714340209961, 661.9047679901123, 728.5714340209961, 728.5714340209961, 428.57143211364746, 728.5714340209961]"
hdfs,10,209715200.0,209715200,209715200,10,88218.60524799999,4408.90338,1082.761106,4.374524,58982.729682000005,440.890338,0.4374524,108.2761106,5898.272968200001,300.0,6000.002517700195,"[1280.0004196166992, 1280.0004196166992, 1280.0004196166992, 720.0004196166992, 720.0004196166992, 720.0004196166992]"
alg2_reduced_complexity,10,209715200.0,209715200,209715200,10,94395.470139,4436.276154,23731.619483,441.539532,34490.262703,443.6276154,44.153953200000004,2373.1619483,3449.0262703,150.00000143051147,3000.0000286102295,"[1000.0000095367432, 1000.0000095367432, 1000.0000095367432]"
alg3_reduced_complexity,10,209715200.0,209715200,209715200,10,89187.057117,4883.615348,27829.224884,1541.570484,29007.178018000002,488.3615348,154.1570484,2782.9224884,2900.7178018000004,150.00000143051147,3000.0000286102295,"[1000.0000095367432, 1000.0000095367432, 1000.0000095367432]"
alg4_reduced_complexity,10,209715200.0,209715200,209715200,10,93074.955793,4968.002469999999,23849.579758999997,1732.100593,32053.194037999994,496.80024699999996,173.21005929999998,2384.9579759,3205.3194037999992,150.00000143051147,3000.0000286102295,"[1000.0000095367432, 1000.0000095367432, 1000.0000095367432]"
hdfsrs_3_2,10,209715200.0,209715200,209715200,10,84729.463731,5155.554529,2624.506208,5.026809999999999,44171.035535,515.5554529,0.5026809999999999,262.45062079999997,4417.1035535,166.6666669845581,3333.3341789245605,"[1666.6670894622803, 1666.6670894622803]"
hdfsrs_6_3,10,209715200.0,209715200,209715200,10,68415.77225,4992.246584,2132.7074729999995,4.535679,34506.512581,499.22465840000007,0.4535679,213.27074729999995,3450.6512581,150.0,3000.0012588500977,"[1000.0004196166992, 1000.0004196166992, 1000.0004196166992]"
hdfsrs_10_4,10,209715200.0,209715200,209715200,10,54525.652644999995,4948.011316,1900.032477,4.480449,25386.691821,494.8011316,0.4480449,190.0032477,2538.6691821,140.0,2800.001678466797,"[700.0004196166992, 700.0004196166992, 700.0004196166992, 700.0004196166992]"
vandermonders_3_2,10,209715200.0,209715200,209715200,10,481377.11432100006,4322.017454,425681.76085499994,3.765196,31662.165438000004,432.2017454,0.3765196,42568.176085499996,3166.2165438,166.6666669845581,3333.3341789245605,"[1666.6670894622803, 1666.6670894622803]"
vandermonders_6_3,10,209715200.0,209715200,209715200,10,477788.523161,4926.571975000001,427820.491201,3.8490569999999997,25745.651298,492.65719750000005,0.38490569999999996,42782.0491201,2574.5651298000002,150.0,3000.0012588500977,"[1000.0004196166992, 1000.0004196166992, 1000.0004196166992]"
vandermonders_10_4,10,209715200.0,209715200,209715200,10,478144.08918199997,4395.255135,431788.86566300003,3.3908279999999995,22425.998316999998,439.52551350000005,0.33908279999999996,43178.8865663,2242.5998317,140.0,2800.001678466797,"[700.0004196166992, 700.0004196166992, 700.0004196166992, 700.0004196166992]"
glusterfs_6_4,10,209715200.0,209715200,209715200,10,72126.259931,4668.370032000001,25337.070053,3.9223980000000003,13327.384726999997,466.8370032000001,0.3922398,2533.7070052999998,1332.7384726999996,150.00000286102295,3000.000057220459,"[500.00000953674316, 500.00000953674316, 500.00000953674316, 500.00000953674316, 500.00000953674316, 500.00000953674316]"
