algorithm,id_file,arrival_time,created_at,start_time,waiting_time,processing_time,chunk_time,upload_time,original_size,n,m,resultant_size,chunk_size,overhead,nodes_used,actual_nodes_utilization
alg1,0,0,0,1718903760058997924,0,5251177788,1956.713855,778.782516,104857600,10,9,116508450,11650845,111.11111640930176,"[1, 2, 0, 9, 6, 3, 4, 8, 5, 7]","[11.111111640930176, 11.111111640930176, 11.111111640930176, 11.111111640930176, 11.111111640930176, 11.111111640930176, 11.111111640930176, 11.111111640930176, 11.111111640930176, 11.111111640930176]"
alg1,1,0,0,1718903765772066284,0,4993242212,1843.158992,648.610525,104857600,10,9,116508450,11650845,111.11111640930176,"[1, 2, 0, 9, 6, 3, 4, 8, 5, 7]","[22.22222328186035, 22.22222328186035, 22.22222328186035, 22.22222328186035, 22.22222328186035, 22.22222328186035, 22.22222328186035, 22.22222328186035, 22.22222328186035, 22.22222328186035]"
alg1,2,0,0,1718903771221959115,0,4937518361,1890.65691,663.08689,104857600,10,9,116508450,11650845,111.11111640930176,"[1, 2, 0, 9, 6, 3, 4, 8, 5, 7]","[33.33333492279053, 33.33333492279053, 33.33333492279053, 33.33333492279053, 33.33333492279053, 33.33333492279053, 33.33333492279053, 33.33333492279053, 33.33333492279053, 33.33333492279053]"
alg1,3,0,0,1718903776617336400,0,5226465720,1901.211978,598.084986,104857600,10,9,116508450,11650845,111.11111640930176,"[1, 2, 0, 9, 6, 3, 4, 8, 5, 7]","[44.4444465637207, 44.4444465637207, 44.4444465637207, 44.4444465637207, 44.4444465637207, 44.4444465637207, 44.4444465637207, 44.4444465637207, 44.4444465637207, 44.4444465637207]"
alg1,4,0,0,1718903782333813636,0,5185176544,1993.186416,630.741114,104857600,10,9,116508450,11650845,111.11111640930176,"[1, 2, 0, 9, 6, 3, 4, 8, 5, 7]","[55.55555820465088, 55.55555820465088, 55.55555820465088, 55.55555820465088, 55.55555820465088, 55.55555820465088, 55.55555820465088, 55.55555820465088, 55.55555820465088, 55.55555820465088]"
alg1,5,0,0,1718903787959734832,0,5046926457,1993.295979,641.917372,104857600,10,9,116508450,11650845,111.11111640930176,"[1, 2, 0, 9, 6, 3, 4, 8, 5, 7]","[66.66666984558105, 66.66666984558105, 66.66666984558105, 66.66666984558105, 66.66666984558105, 66.66666984558105, 66.66666984558105, 66.66666984558105, 66.66666984558105, 66.66666984558105]"
alg1,6,0,0,1718903793453118611,0,5170559961,1939.092938,701.561056,104857600,10,9,116508450,11650845,111.11111640930176,"[1, 2, 0, 9, 6, 3, 4, 8, 5, 7]","[77.77778148651123, 77.77778148651123, 77.77778148651123, 77.77778148651123, 77.77778148651123, 77.77778148651123, 77.77778148651123, 77.77778148651123, 77.77778148651123, 77.77778148651123]"
alg1,7,0,0,1718903799062937152,0,5016462372,1974.735386,645.303926,104857600,10,9,116508450,11650845,111.11111640930176,"[1, 2, 0, 9, 6, 3, 4, 8, 5, 7]","[88.8888931274414, 88.8888931274414, 88.8888931274414, 88.8888931274414, 88.8888931274414, 88.8888931274414, 88.8888931274414, 88.8888931274414, 88.8888931274414, 88.8888931274414]"
alg1,8,0,0,1718903804511312583,0,5485204894,2010.236255,676.224777,104857600,10,9,116508450,11650845,111.11111640930176,"[1, 2, 0, 9, 6, 3, 4, 8, 5, 7]","[100.00000476837158, 100.00000476837158, 100.00000476837158, 100.00000476837158, 100.00000476837158, 100.00000476837158, 100.00000476837158, 100.00000476837158, 100.00000476837158, 100.00000476837158]"
alg1,9,0,0,1718903810499991600,0,5155370721,1874.679066,612.697609,104857600,10,9,116508450,11650845,111.11111640930176,"[1, 2, 0, 9, 6, 3, 4, 8, 5, 7]","[111.11111640930176, 111.11111640930176, 111.11111640930176, 111.11111640930176, 111.11111640930176, 111.11111640930176, 111.11111640930176, 111.11111640930176, 111.11111640930176, 111.11111640930176]"
alg2,0,0,0,1718903818153083879,0,4975372465,1551.240844,1846.183864,104857600,3,2,157286403,52428801,150.00000286102295,"[0, 1, 9]","[50.000000953674316, 50.000000953674316, 50.000000953674316]"
alg2,1,0,0,1718903823566198746,0,4514609577,1441.198322,1507.168486,104857600,3,2,157286403,52428801,150.00000286102295,"[0, 1, 9]","[100.00000190734863, 100.00000190734863, 100.00000190734863]"
alg2,2,0,0,1718903828516729827,0,4625967669,1447.219945,1593.33054,104857600,3,2,157286403,52428801,150.00000286102295,"[0, 1, 9]","[150.00000286102295, 150.00000286102295, 150.00000286102295]"
alg2,3,0,0,1718903833581270046,0,4534627245,1474.355119,1502.26239,104857600,3,2,157286403,52428801,150.00000286102295,"[0, 1, 9]","[200.00000381469727, 200.00000381469727, 200.00000381469727]"
alg2,4,0,0,1718903838544644869,0,5188276419,1462.766793,2175.909123,104857600,3,2,157286403,52428801,150.00000286102295,"[0, 1, 9]","[250.00000476837158, 250.00000476837158, 250.00000476837158]"
alg2,5,0,0,1718903844188166132,0,4909842269,1445.083984,1957.264699,104857600,3,2,157286403,52428801,150.00000286102295,"[0, 1, 9]","[300.0000057220459, 300.0000057220459, 300.0000057220459]"
alg2,6,0,0,1718903849534654569,0,5024766398,1458.082107,1967.894187,104857600,3,2,157286403,52428801,150.00000286102295,"[0, 1, 9]","[350.0000066757202, 350.0000066757202, 350.0000066757202]"
alg2,7,0,0,1718903854981065603,0,4278864524,1458.035105,1305.83182,104857600,3,2,157286403,52428801,150.00000286102295,"[0, 1, 9]","[400.00000762939453, 400.00000762939453, 400.00000762939453]"
alg2,8,0,0,1718903859690648144,0,4606175597,1563.809943,1590.724889,104857600,3,2,157286403,52428801,150.00000286102295,"[0, 1, 9]","[450.00000858306885, 450.00000858306885, 450.00000858306885]"
alg2,9,0,0,1718903864727656241,0,5111981011,1661.43474,1899.918691,104857600,3,2,157286403,52428801,150.00000286102295,"[0, 1, 9]","[500.00000953674316, 500.00000953674316, 500.00000953674316]"
