algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored,total_N,mean_storage_used,mean_upload_time,mean_N,initial_node_sizes,final_node_sizes,total_chunking_time,mean_chunking_time,mean_parralelized_upload_time,total_read_time,mean_read_time,total_read_time_parrallelized,mean_read_time_parrallelized,total_reconstruct_time,mean_reconstruct_time,size_stored
alg4_1, 126.211228, 17690906.729029, 90123.448271, 26229.179926, 103925, 413632, 170.227633, 0.867197, 3.980101, "[16000000.000000, 16000000.000000, 22000000.000000, 12000000.000000, 12000000.000000, 14000000.000000, 16000000.000000, 6000000.000000, 4000000.000000, 4000000.000000]", "[12034750.047337, 12277280.947600, 17622064.913774, 11980345.516661, 11975307.483298, 12034749.148430, 12391845.313866, 6000000.000000, 3996374.950003, 3996374.950003]", 287711.898296, 2.768457, 0.252386, 89185.923934, 0.858176, 26086.040794, 0.251008, 583125.503875, 5.611022, 12167987.508348
alg1_c, 0.135345, 14814792.450841, 93097.758265, 14814.792451, 103867, 1038670, 142.632332, 0.896317, 10.000000, "[16000000.000000, 16000000.000000, 22000000.000000, 12000000.000000, 12000000.000000, 14000000.000000, 16000000.000000, 6000000.000000, 4000000.000000, 4000000.000000]", "[14518520.754916, 14518520.754916, 20518520.754916, 10518520.754916, 10518520.754916, 12518520.754916, 14518520.754916, 4518520.754916, 2518520.754916, 2518520.754916]", 265899.872659, 2.560003, 0.142632, 92201.487132, 0.887688, 15272.981908, 0.147044, 886666.422780, 8.536556, 12160737.408354
alg_bogdan, 0.195818, 20020369.564292, 102027.712076, 34539.580204, 103868, 341940, 192.748195, 0.982282, 3.292063, "[16000000.000000, 16000000.000000, 22000000.000000, 12000000.000000, 12000000.000000, 14000000.000000, 16000000.000000, 6000000.000000, 4000000.000000, 4000000.000000]", "[12015114.697030, 12015005.046927, 15919577.045823, 11999945.750000, 11999945.750000, 12015028.298779, 12015122.347150, 5999945.750000, 3999945.750000, 4000000.000000]", 297447.721129, 2.863709, 0.332533, 101391.968420, 0.976162, 34441.643257, 0.331591, 540699.628292, 5.205642, 12160845.908354
hdfs_3_replication_c, 0.057841, 36482212.225062, 174785.596148, 60814.586470, 103867, 311601, 351.239684, 1.682783, 3.000000, "[16000000.000000, 16000000.000000, 22000000.000000, 12000000.000000, 12000000.000000, 14000000.000000, 16000000.000000, 6000000.000000, 4000000.000000, 4000000.000000]", "[3839262.591646, 3850706.991674, 9839262.591646, 12000000.000000, 12000000.000000, 14000000.000000, 15988555.599972, 6000000.000000, 4000000.000000, 4000000.000000]", 338990.070624, 3.263694, 0.585504, 172531.691805, 1.661083, 63676.183918, 0.613055, 485947.408769, 4.678554, 12160737.408354
hdfs_rs_3_2_c, 0.075499, 20140681.013823, 100064.614289, 21262.996394, 103216, 516080, 195.131385, 0.969468, 5.000000, "[16000000.000000, 16000000.000000, 22000000.000000, 12000000.000000, 12000000.000000, 14000000.000000, 16000000.000000, 6000000.000000, 4000000.000000, 4000000.000000]", "[11971863.797236, 12041186.497280, 17976136.997233, 7971863.797236, 7997911.030581, 13973952.766655, 15930677.299956, 6000000.000000, 3995726.800001, 4000000.000000]", 320593.347532, 3.106043, 0.206005, 99994.335861, 0.968787, 21481.251211, 0.208119, 592246.296708, 5.737931, 12084408.608294
hdfs_rs_6_3_c, 0.129941, 18241106.112531, 107102.698249, 18943.206412, 103867, 934803, 175.619842, 1.031152, 9.000000, "[16000000.000000, 16000000.000000, 22000000.000000, 12000000.000000, 12000000.000000, 14000000.000000, 16000000.000000, 6000000.000000, 4000000.000000, 4000000.000000]", "[13973210.431940, 13973210.431940, 19973210.431942, 9973210.431940, 9973210.431940, 11973210.431940, 13973210.431940, 3975117.831946, 1973210.431941, 3998092.599995]", 345218.706823, 3.323661, 0.182379, 105252.250762, 1.013337, 19489.684764, 0.187641, 761425.304566, 7.330772, 12160737.408354
hdfs_rs_4_2_c, 0.087846, 17952837.312357, 90361.406540, 16040.178574, 102224, 613344, 175.622528, 0.883955, 6.000000, "[16000000.000000, 16000000.000000, 22000000.000000, 12000000.000000, 12000000.000000, 14000000.000000, 16000000.000000, 6000000.000000, 4000000.000000, 4000000.000000]", "[13007860.447941, 13077799.673021, 19011080.447959, 9007860.447941, 9030889.872960, 11007860.447941, 15930060.774919, 6000000.000000, 3976970.574981, 3996779.999981]", 309463.482426, 3.027308, 0.156912, 90152.109806, 0.881907, 16043.229878, 0.156942, 640715.318207, 6.267758, 11968558.208238
hdfs_rs_0_0_c, 0.134955, 18241106.112531, 107102.698249, 18943.206412, 103867, 934803, 175.619842, 1.031152, 9.000000, "[16000000.000000, 16000000.000000, 22000000.000000, 12000000.000000, 12000000.000000, 14000000.000000, 16000000.000000, 6000000.000000, 4000000.000000, 4000000.000000]", "[13973210.431940, 13973210.431940, 19973210.431942, 9973210.431940, 9973210.431940, 11973210.431940, 13973210.431940, 3975117.831946, 1973210.431941, 3998092.599995]", 345218.706823, 3.323661, 0.182379, 105252.250762, 1.013337, 19489.684764, 0.187641, 761425.304566, 7.330772, 12160737.408354
glusterfs_6_4_c, 0.086770, 17952837.312357, 90361.406540, 16040.178574, 102224, 613344, 175.622528, 0.883955, 6.000000, "[16000000.000000, 16000000.000000, 22000000.000000, 12000000.000000, 12000000.000000, 14000000.000000, 16000000.000000, 6000000.000000, 4000000.000000, 4000000.000000]", "[13007860.447941, 13077799.673021, 19011080.447959, 9007860.447941, 9030889.872960, 11007860.447941, 15930060.774919, 6000000.000000, 3976970.574981, 3996779.999981]", 309463.482426, 3.027308, 0.156912, 90152.109806, 0.881907, 16043.229878, 0.156942, 640715.318207, 6.267758, 11968558.208238
glusterfs_0_0_c, 0.082339, 17952837.312357, 90361.406540, 16040.178574, 102224, 613344, 175.622528, 0.883955, 6.000000, "[16000000.000000, 16000000.000000, 22000000.000000, 12000000.000000, 12000000.000000, 14000000.000000, 16000000.000000, 6000000.000000, 4000000.000000, 4000000.000000]", "[13007860.447941, 13077799.673021, 19011080.447959, 9007860.447941, 9030889.872960, 11007860.447941, 15930060.774919, 6000000.000000, 3976970.574981, 3996779.999981]", 309463.482426, 3.027308, 0.156912, 90152.109806, 0.881907, 16043.229878, 0.156942, 640715.318207, 6.267758, 11968558.208238
