algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored,total_N,mean_storage_used,mean_upload_time,mean_N,initial_node_sizes,final_node_sizes,total_chunking_time,mean_chunking_time,mean_parralelized_upload_time,total_read_time,mean_read_time,total_read_time_parrallelized,mean_read_time_parrallelized,total_reconstruct_time,mean_reconstruct_time,size_stored
alg4_1, 449.971048, 115940804.553764, 641025.692005, 166176.072373, 790881, 4602219, 146.597029, 0.810521, 5.819104, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.567735, 0.056916, 0.111597, 0.173236, 1293991.397392, 0.093302, 0.047245, 1293991.466103, 1471211.461261, 0.071467]", 2045075.744806, 2.585820, 0.210115, 611034.045687, 0.772599, 162416.841512, 0.205362, 44778690.043612, 56.618745, 92598080.263418
alg1_c, 1.777445, 115999997.720110, 647282.172177, 120995.668254, 768695, 6730284, 150.905102, 0.842053, 8.755467, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.370152, 2000000.370152, 0.370152, 0.171519, 0.171519, 0.171519, 2000000.370152, 0.040958, 0.072244, 0.171519]", 2132833.361248, 2.774616, 0.157404, 615194.973576, 0.800311, 118907.560325, 0.154688, 39428321.626698, 51.292543, 89999998.261780
alg_bogdan, 3.923611, 119999997.905922, 668756.312008, 264154.404268, 705410, 2355746, 170.113832, 0.948039, 3.339542, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.375386, 0.375971, 0.073510, 0.115272, 0.008245, 0.152654, 0.160626, 0.373139, 0.457456, 0.001827]", 1911143.148713, 2.709266, 0.374469, 636050.589051, 0.901675, 255873.581372, 0.362730, 44487426.035802, 63.066055, 82589001.856738
hdfs_3_replication_c, 9.653805, 102000167.770298, 530229.349607, 196393.564678, 290430, 871290, 351.203966, 1.825670, 3.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[1.090283, 1.288918, 1.090283, 1.292027, 0.092027, 1.391892, 7999875.994258, 0.194258, 1.097144, 9999948.698614]", 947777.990808, 3.263361, 0.676217, 499707.212254, 1.720577, 191718.359880, 0.660119, 19492650.054172, 67.116517, 34000055.923433
hdfs_rs_3_2_c, 0.525322, 89999998.561840, 462354.225442, 110119.886816, 461224, 2306120, 195.132947, 1.002450, 5.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.157116, 0.422339, 0.157116, 0.191758, 0.191758, 6000000.095874, 10000000.095875, 4000000.130516, 0.130516, 9999999.865294]", 1432594.138019, 3.106070, 0.238756, 432665.906267, 0.938082, 104065.381782, 0.225629, 28453757.454477, 61.691841, 53999999.137105
hdfs_rs_6_3_c, 0.665188, 71999998.099480, 397851.425714, 72077.920160, 409962, 3689658, 175.626029, 0.970459, 9.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[6000000.211168, 8000000.211167, 6000000.211168, 4000000.211168, 4000000.211168, 4000000.211168, 8000000.211167, 0.211169, 0.013953, 8000000.197215]", 1362622.871803, 3.323778, 0.175816, 376338.555814, 0.917984, 65789.471818, 0.160477, 22072981.791794, 53.841531, 47999998.732987
hdfs_rs_4_2_c, 0.603947, 83999998.107546, 412320.186099, 81015.035939, 478311, 2869866, 175.617952, 0.862034, 6.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.315409, 2000000.315409, 0.315409, 0.316753, 0.316753, 0.316753, 13999999.998656, 5999999.998656, 1999999.998656, 12000000.000000]", 1447958.994201, 3.027233, 0.169377, 387132.172488, 0.809373, 78529.655811, 0.164181, 28208429.252637, 58.975080, 55999998.738364
hdfs_rs_0_0_c, 0.675671, 71999998.099480, 397851.425714, 72077.920160, 409962, 3689658, 175.626029, 0.970459, 9.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[6000000.211168, 8000000.211167, 6000000.211168, 4000000.211168, 4000000.211168, 4000000.211168, 8000000.211167, 0.211169, 0.013953, 8000000.197215]", 1362622.871803, 3.323778, 0.175816, 376338.555814, 0.917984, 65789.471818, 0.160477, 22072981.791794, 53.841531, 47999998.732987
glusterfs_6_4_c, 0.585637, 83999998.107546, 412320.186099, 81015.035939, 478311, 2869866, 175.617952, 0.862034, 6.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.315409, 2000000.315409, 0.315409, 0.316753, 0.316753, 0.316753, 13999999.998656, 5999999.998656, 1999999.998656, 12000000.000000]", 1447958.994201, 3.027233, 0.169377, 387132.172488, 0.809373, 78529.655811, 0.164181, 28208429.252637, 58.975080, 55999998.738364
glusterfs_0_0_c, 0.577435, 83999998.107546, 412320.186099, 81015.035939, 478311, 2869866, 175.617952, 0.862034, 6.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.315409, 2000000.315409, 0.315409, 0.316753, 0.316753, 0.316753, 13999999.998656, 5999999.998656, 1999999.998656, 12000000.000000]", 1447958.994201, 3.027233, 0.169377, 387132.172488, 0.809373, 78529.655811, 0.164181, 28208429.252637, 58.975080, 55999998.738364
